inventory_id,product_id,stock_remaining,warehouse_id,restock_date
1,1,311,8,1/31/2025
2,2,111,10,3/26/2025
3,3,243,8,2/22/2025
4,4,226,2,3/18/2025
5,5,307,1,2/1/2025
6,6,451,9,2/5/2025
7,7,317,9,1/27/2025
8,8,25,3,1/19/2025
9,9,28,6,1/5/2025
10,10,74,1,3/27/2025
11,11,295,10,2/8/2025
12,12,169,2,1/7/2025
13,13,55,7,1/23/2025
14,14,82,5,3/20/2025
15,15,338,10,3/15/2025
16,16,403,9,1/23/2025
17,17,494,8,3/16/2025
18,18,184,1,1/12/2025
19,19,393,5,2/11/2025
20,20,188,7,1/9/2025
21,21,388,7,3/12/2025
22,22,33,5,3/2/2025
23,23,68,2,3/30/2025
24,24,440,5,2/12/2025
25,25,269,7,3/9/2025
26,26,107,4,3/20/2025
27,27,29,2,3/15/2025
28,28,373,9,1/12/2025
29,29,247,10,2/6/2025
30,30,218,10,2/10/2025
31,31,132,9,3/15/2025
32,32,319,6,1/17/2025
33,33,314,10,3/5/2025
34,34,266,8,3/5/2025
35,35,413,3,3/20/2025
36,36,119,5,1/25/2025
37,37,0,2,1/4/2025
38,38,238,2,1/27/2025
39,39,409,10,2/23/2025
40,40,211,1,2/12/2025
41,41,179,9,3/23/2025
42,42,108,1,3/23/2025
43,43,103,5,2/2/2025
44,44,404,2,2/9/2025
45,45,153,9,3/12/2025
46,46,165,1,1/15/2025
47,47,351,6,2/13/2025
48,48,202,10,3/20/2025
49,49,491,1,1/23/2025
50,50,99,6,2/13/2025
51,51,472,8,3/2/2025
52,52,408,1,3/24/2025
53,53,69,8,1/20/2025
54,54,321,8,3/10/2025
55,55,458,6,3/1/2025
56,56,401,7,1/8/2025
57,57,427,9,2/8/2025
58,58,289,6,3/13/2025
59,59,274,1,1/27/2025
60,60,295,6,2/15/2025
61,61,33,3,2/5/2025
62,62,430,1,2/13/2025
63,63,192,9,1/22/2025
64,64,292,10,2/19/2025
65,65,95,10,1/15/2025
66,66,442,5,2/10/2025
67,67,363,1,2/4/2025
68,68,211,2,3/5/2025
69,69,449,4,2/17/2025
70,70,231,5,1/28/2025
71,71,268,5,1/23/2025
72,72,57,6,1/5/2025
73,73,398,4,1/12/2025
74,74,227,9,1/4/2025
75,75,409,8,3/6/2025
76,76,78,4,2/13/2025
77,77,472,8,3/9/2025
78,78,158,6,1/19/2025
79,79,393,2,3/8/2025
80,80,346,3,1/27/2025
81,81,370,1,2/28/2025
82,82,198,9,1/15/2025
83,83,2,5,1/6/2025
84,84,351,10,1/12/2025
85,85,170,8,1/6/2025
86,86,52,9,3/26/2025
87,87,381,5,1/3/2025
88,88,295,5,3/23/2025
89,89,456,4,2/11/2025
90,90,102,4,2/6/2025
91,91,141,9,2/10/2025
92,92,395,8,3/27/2025
93,93,60,5,1/20/2025
94,94,80,5,1/15/2025
95,95,7,10,3/13/2025
96,96,263,2,1/27/2025
97,97,277,6,3/12/2025
98,98,163,5,1/19/2025
99,99,482,5,3/15/2025
100,100,125,3,1/10/2025
101,101,159,10,2/13/2025
102,102,276,8,1/7/2025
103,103,66,1,3/2/2025
104,104,462,1,1/14/2025
105,105,196,1,1/12/2025
106,106,218,7,1/23/2025
107,107,360,10,3/17/2025
108,108,322,8,3/20/2025
109,109,182,5,2/12/2025
110,110,418,4,3/27/2025
111,111,414,9,1/11/2025
112,112,498,8,3/14/2025
113,113,67,2,3/31/2025
114,114,239,2,2/28/2025
